ticker,corporate_name,asset_turnover,cagr_earnings_5y,cagr_revenue_5y,cash,close_price,current_assets,current_liabilities,current_ratio,debt_equity,ebit,ebit_margin,ebit_over_assets,ebitda,ebitda_margin,equity,ev_ebit,ev_ebitda,gross_margin,lpa,market_cap,net_debt,net_debt_ebit,net_debt_ebitda,net_debt_equity,net_income,net_margin,net_revenue,p_assets,p_ebit,p_ebitda,p_sr,pl,pvp,reference_date,roa,roe,roic,shares_outstanding,total_assets,total_debt,vpa
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.16,,,251735.0,42.4,591509.0,611678.0,0.97,0.48,637621.0,58.09,9.51,752918.0,68.6,4176068.0,36.9,31.25,74.17,0.7,21758140922.4,1769933.0,2.78,2.35,0.42,358434.0,32.65,1097592.0,3.25,34.12,28.9,19.82,60.7,5.21,2015-09-30,5.35,8.58,7.08,513163701,6702244.0,2021668.0,8.14
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.16,,,262212.0,47.95,688712.0,488691.0,1.41,0.49,638531.0,58.12,9.54,715133.0,65.1,4149563.0,41.33,36.9,74.47,0.72,24606199462.95,1784889.0,2.8,2.5,0.43,371019.0,33.76,1098584.0,3.67,38.54,34.41,22.4,66.32,5.93,2015-06-30,5.54,8.94,7.1,513163701,6696584.0,2047101.0,8.09
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.17,,,399170.0,56.05,908885.0,494697.0,1.84,0.5,662890.0,59.19,9.9,701147.0,62.6,4154566.0,45.94,43.43,74.25,0.69,28762825441.05,1688733.0,2.55,2.41,0.41,355395.0,31.73,1120015.0,4.29,43.39,41.02,25.68,80.93,6.92,2015-03-31,5.31,8.55,7.49,513163701,6697108.0,2087903.0,8.1
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.17,,,325937.0,47.44,871661.0,492033.0,1.77,0.52,639671.0,57.45,9.6,797335.0,71.61,4066877.0,40.86,32.78,73.3,0.72,24344485975.44,1793114.0,2.8,2.25,0.44,368062.0,33.05,1113454.0,3.65,38.06,30.53,21.86,66.14,5.99,2014-12-31,5.52,9.05,7.2,513163701,6663216.0,2119051.0,7.93
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.15,,,200620.0,50.12,700713.0,608010.0,1.15,0.49,547461.0,54.8,8.48,665923.0,66.66,4036164.0,50.19,41.26,72.45,0.52,25719764694.12,1757231.0,3.21,2.64,0.44,266076.0,26.64,998932.0,3.98,46.98,38.62,25.75,96.66,6.37,2014-09-30,4.12,6.59,6.24,513163701,6456863.0,1957851.0,7.87
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.16,,,187344.0,51.3,693010.0,445621.0,1.56,0.51,558508.0,55.56,8.69,635959.0,63.27,3941808.0,50.4,44.26,72.65,0.6,26325297861.3,1823026.0,3.26,2.87,0.46,307597.0,30.61,1005164.0,4.1,47.14,41.39,26.19,85.58,6.68,2014-06-30,4.79,7.8,6.39,513163701,6424775.0,2010370.0,7.68
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.16,,,246696.0,48.42,716432.0,416561.0,1.72,0.52,535898.0,53.38,8.39,574272.0,57.2,3898569.0,49.7,46.38,71.67,0.58,24847386402.42,1788106.0,3.34,3.11,0.46,296392.0,29.53,1003917.0,3.89,46.37,43.27,24.75,83.83,6.37,2014-03-31,4.64,7.6,6.22,513163701,6388283.0,2034802.0,7.6
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.15,,,331599.0,49.9,790948.0,483758.0,1.64,0.55,530406.0,54.51,8.29,653750.0,67.19,3819152.0,51.59,41.86,72.37,0.55,25606868679.9,1756834.0,3.31,2.69,0.46,284554.0,29.25,973054.0,4.0,48.28,39.17,26.32,89.99,6.7,2013-12-31,4.45,7.45,6.28,513163701,6397648.0,2088433.0,7.44
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.16,,,528763.0,53.0,931896.0,472045.0,1.97,0.55,568759.0,56.64,8.9,656673.0,65.39,3824504.0,50.57,43.8,73.16,0.78,27197676153.0,1564566.0,2.75,2.38,0.41,402705.0,40.23,1004202.0,4.25,47.82,41.42,27.08,67.54,7.11,2013-09-30,6.32,10.53,6.97,513163701,6393040.0,2093329.0,7.45
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.16,,,448631.0,51.79,917947.0,482470.0,1.9,0.46,568112.0,56.44,9.28,624944.0,62.09,3826016.0,49.08,44.61,73.59,0.77,26576748074.79,1304565.0,2.3,2.09,0.34,395285.0,39.4,1006593.0,4.34,46.78,42.53,26.4,67.23,6.95,2013-06-30,6.48,10.33,7.31,513163701,6120315.0,1753196.0,7.46
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.15,,,227554.0,58.0,674239.0,544765.0,1.24,0.54,509636.0,59.18,8.98,537449.0,62.41,3267987.0,61.41,58.24,78.18,0.65,29763494658.0,1535292.0,3.01,2.86,0.47,333986.0,38.79,861218.0,5.25,58.4,55.38,34.56,89.12,9.11,2013-03-31,5.89,10.22,7.0,513163701,5673374.0,1762846.0,6.37
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.17,,,395001.0,60.2,851338.0,549428.0,1.55,0.56,549951.0,57.18,9.67,624666.0,64.94,3205209.0,58.73,51.7,74.89,0.76,30892454800.2,1404633.0,2.55,2.25,0.44,388055.0,40.48,961873.0,5.43,56.17,49.45,32.12,79.61,9.64,2012-12-31,6.85,12.11,7.87,513163701,5684512.0,1799634.0,6.25
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,0.14,,,324230.0,59.69,708683.0,431130.0,1.64,0.42,420516.0,58.73,8.08,473156.0,66.09,3208929.0,75.31,66.93,77.83,0.59,30630741312.69,1038881.0,2.47,2.2,0.32,304920.0,43.63,715956.0,5.89,72.84,64.74,42.78,100.46,9.55,2012-09-30,6.0,9.5,6.53,513163701,5204608.0,1363111.0,6.25
